City,State,Country,Plant_Type,Product,Latitude,Longitude
"Dandenong","Vicoria","Australia","Factory","Medium Heavy Trucks","-37.98746","145.21486"
"Geelong","Victoria","Australia","Factory","Farm Tractors,Combines,Implements,Engines,Foundry","-38.148","144.35934"
"South Melbourne","Victoria","Australia","Headquarters - International Harvester,Australia","","-37.83238","144.96043"
"South Melbourne","Victoria","Australia","Parts Distribution Center","","-37.83238","144.96043"
"South Melbourne","Victoria","Australia","Headquarters - International Harvester Credit Corporation of Australia","","-37.83238","144.96043"
"South Melbourne","Victoria","Australia","Seddon Atkinson Sales,Ltd","","-37.83238","144.96043"
"South Melbourne","Victoria","Australia","International Harvester Overseas Services Co.","","-37.83238","144.96043"
"South Melbourne","Victoria","Australia","Payline Regional Sales Office","","-37.83238","144.96043"
"South Melbourne","Victoria","Australia","Headquarters - Truck Region","","-37.83238","144.96043"
"Vienna","","Austria","Regioal Sales Office","","48.20921","16.37278"
"Brussels","","Belgium","Solar Regional Office","","50.84554","4.35571"
"Brussels","","Belgium","Truck Regional Office","","50.84554","4.35571"
"Oeval","","Belgium","DAF Truck Factory","","51.13845","4.90387"
"Vilvoorde","","Belgium","International Harvester Co. of Belgium, SA/NV Sales Subsidiary","","50.92705","4.42485"
"Hamilton","","Bermuda","International Harvester Acceptance Corporation Ltd., Finance Subsidiary","","32.33901","-64.73842"
"Hamilton","","Bermuda","Harbour Assurance Co. of Bermuda Ltd. Subsidiary","","32.33901","-64.73842"
"Hamilton","","Bermuda","Headquarters - Energy Services International Ltd. Subsidiary","","32.33901","-64.73842"
"Burlington"," Ontario"," Canada","Parts Distribution Center","","43.32599","-79.7983"
"Candiac","Quebec","Canada","Factory","Wheel Loaders and Loggers","45.3924","-73.51658"
"Chatham","Quebec","Canada","Factory","Trucks","45.6759","-74.40737"
"Edmonton","Alberta","Canada","Solar Product Support Center","","53.54445","-113.49091"
"Edmonton","Alberta","Canada","Parts Distribution Center","","53.54445","-113.49091"
"Hamilton","","Bermuda","Internatioal Harvester Acceptance Sorporation Ltd., Finance Subsidiaery","","32.33901","-64.73842"
"Hamilton","","Bermuda","Headquarters - Energy Services International, Ltd., Subsidiary","","32.33901","-64.73842"
"Burlington"," Ontario"," Canada","Parts Distribution Center","","43.32599","-79.7983"
"Candiac","Quebec","Canada","Factory","Wheel Loaders and Loggers","45.3924","-73.51658"
"Chatham","Quebec","Canada","Factory","Trucks","45.6759","-74.40737"
"Edmonton","Alberta","Canada","Solar Product Support Center","","53.54445","-113.49091"
"Edmonton","Alberta","Canada","Parts Distribution Center","","53.54445","-113.49091"
"Hamilton","Ontario","Canada","Headquarters - International Harvester Canada","","43.25653","-79.87442"
"Hamilton","Ontario","Canada","Headquarters - International Harvester Credit Corporation of Canada, Ltd.","","43.25653","-79.87442"
"Hamilton","Ontario","Canada","Headquarters - Harcan Leasing, Ltd.","","43.25653","-79.87442"
"Hamilton","Ontario","Canada","Factory","Farm Implements","43.25653","-79.87442"
"North Vancouver","British Columbia","Canada","Headquarters - Pacific Truck and Trailer","","49.31995","-123.06924"
"North Vancouver","British Columbia","Canada","Factory","On/Off Highway Trucks","49.31995","-123.06924"
"Winnipeg","Ontario","Canada","Parts Distribution Center","","44.79746","-78.81342"
"Copenhagen","","Denmark","Sales Subsidiary","Aktieselskabel International Harvester Company","55.67576","12.56902"
"Copenhagen","","Denmark","Parts Distribution Center","","55.67576","12.56902"
"Bradford","Yorkshire","England","Factory","Farm Tractors, Industrial Tractors","53.79385","-1.75244"
"Doncaster","Yorkshire","England","Factory","Transmissions,Industrial Tractors,Crawler Tractors","53.52304","-1.13376"
"Doncaster","Yorkshire","England","Factory","Farm Tractors,Balers","53.52304","-1.13376"
"Doncaster","Yorkshire","England","Engineering Center","","53.52304","-1.13376"
"Doncaster","Yorkshire","England","Parts Distribution Center","","53.52304","-1.13376"
"London","","England","Headquarters","International Harvester Great Britain","51.50015","-0.12624"
"London","","England","Headquarters","International Harvester Overseas Services Co.","51.50015","-0.12624"
