City,State,Country,Plant_Type,Product
Dandenong,Vicoria,Australia,Factory,Medium Heavy Trucks
Geelong,Victoria,Australia,Factory,"Farm Tractors,Combines,Implements,Engines,Foundry"
South Melbourne,Victoria,Australia,"Headquarters - International Harvester,Australia",
South Melbourne,Victoria,Australia,Parts Distribution Center,
South Melbourne,Victoria,Australia,"Headquarters - International Harvester Credit Corporation of Australia",
South Melbourne,Victoria,Australia,"Seddon Atkinson Sales,Ltd",
South Melbourne,Victoria,Australia,"International Harvester Overseas Services Co.",
South Melbourne,Victoria,Australia,"Payline Regional Sales Office",
South Melbourne,Victoria,Australia,"Headquarters - Truck Region",
Vienna,,Austria,"Regioal Sales Office",
Brussels,,Belgium,"Solar Regional Office",
Brussels,,Belgium,"Truck Regional Office",
Oeval,,Belgium,"DAF Truck Factory",
Vilvoorde,,Belgium,"International Harvester Co. of Belgium, SA/NV Sales Subsidiary",
Hamilton,,Bermuda,"International Harvester Acceptance Corporation Ltd., Finance Subsidiary",
Hamilton,,Bermuda,"Harbour Assurance Co. of Bermuda Ltd. Subsidiary",
Hamilton,,Bermuda,"Headquarters - Energy Services International Ltd. Subsidiary",
Burlington, Ontario, Canada,"Parts Distribution Center",
Candiac,Quebec,Canada,Factory,"Wheel Loaders and Loggers"
Chatham,Quebec,Canada,Factory,Trucks
Edmonton,Alberta,Canada,"Solar Product Support Center",
Edmonton,Alberta,Canada,"Parts Distribution Center",
Hamilton,Ontario,Canada,"Headquarters - International Harvester Canada",
Hamilton,Ontario,Canada,"Headquarters - International Harvester Credit Corporation of Canada, Ltd.",
Hamilton,Ontario,Canada,"Headquarters - Harcan Leasing, Ltd.",
Hamilton,Ontario,Canada,Factory,"Farm Implements"
"North Vancouver","British Columbia",Canada,"Headquarters - Pacific Truck and Trailer",
"North Vancouver","British Columbia",Canada,Factory,"On/Off Highway Trucks"
Winnipeg,Ontario,Canada,"Parts Distribution Center",
Copenhagen,,Denmark,"Sales Subsidiary","Aktieselskabel International Harvester Company"
Copenhagen,,Denmark,"Parts Distribution Center",
Bradford,Yorkshire,England,Factory,"Farm Tractors, Industrial Tractors"
Doncaster,Yorkshire,England,Factory,"Transmissions,Industrial Tractors,Crawler Tractors"
Doncaster,Yorkshire,England,Factory,"Farm Tractors,Balers"
Doncaster,Yorkshire,England,Engineering Center,""
Doncaster,Yorkshire,England,"Parts Distribution Center",""
London,,England,Headquarters,"International Harvester Great Britain"
London,,England,Headquarters,"International Harvester Overseas Services Co."
London,,England,"Regional Payline Sales Office,""
London,,England,"Solar Regional Office,""
London,,England,"Harbor Underwriting Agency (U.K.) Ltd.",""
London,,England,Headquarters,"International Harvester Credit Corporation of Great Britain, Ltd."
Oldham,Lancashire,England,Headquarters,"Seddon Diesel Vehicles, Ltd."
Oldham,Lancashire,England,Factory,Trucks
Preston,Lancashire,England,Factory,"Trucks and Cabs"
Preston,Lancashire,England,"Parts Distribution Center",""
Chauffailles,,France,Factory,Excavators
Croix,,France,Factory,"Farm Combines,Implements"
Genas,,France,Headquarters,"Yumbo Co."
Genas,,France,Factory,Excavators
Genas,,France,"Parts Distribution Center",""
Genas,,France,"Engineering Center",""
Paris,,France,Headquarters,"International Harvester Europe S.A."
Paris,,France,Headquarters,"International Harvester Agricultural Equipment Group - Europe,Africa,Middle East"
Paris,,France,Headquarters,"International Harvester France"
Paris,,France,"Solar Regional Office",""
"Ris Orangis",,France,"Solar Power Support Center",""
"St. Dizier",,France,Factory,"Farm Tractors,Transmissions"
"St. Dizier",,France,Foundry,""
Heidelberg,,Germany,Factory,"Front End Loaders"
Heidelberg,,Germany,"Parts Distribution Center",""
Neuss,,Germany,Headquarters,"Internatioal Harvester Germany"
Neuss,,Germany,"Engineering Center",""
Neuss,,Germany,Factory,"Farm Tractors,Diesel Engines"
Neuss,,Germany,Foundry,""
Athens,,Greece,"Regional Sales Office",""
Bombay,,India,Headquarters,"Mahindra and Mahindra Ltd."
Bombay,,India,Factory,"Farm Implements"
Nagpur,,India,Factory,"Farm Implements"
Dublin,,Ireland,"Energy Services International",""
Milan,,Italy,"Sales Subsidiary","International Harvester Italiana, S.p.A."
Milan,,Italy,"Parts Distribution Center",""
Kawagoe,,Japan,"KIMCO Factory","Wheeled Front End Loaders"
Kawagoe,,Japan,"Solar Regional Office",""
Mooka,,Japan,"KIMCO Factory","Farm Tractors, Collateral"
Tokyo,,Japan,Headquarters,"Komatsu International Manufacturing Co. Ltd,"
Tokyo,,Japan,"Solar Regional Office",""
Saltillo,,Mexico,Factory,"Farm Tractors,Farm Implements"
Saltillo,,Mexico,Foundry,""
"Mexico City","D.F.",Mexico,Headquarters,"International Harvester Mexico"
"Mexico City","D.F.",Mexico,Headquarters,"Maquinara Hidraulica Mexicana, S.A."
"Mexico City","D.F.",Mexico,Factory,"Excavators,Small Crawlers"
"Mexico City","D.F.",Mexico,Headquarters,"Fabrica de Autotransport Mexicana S.A."
Tiainepantia,,Mexico,"Parts Distribution Center",""
Santiago,Tianguistenco,Mexico,Factory,"(FAMSA) Trucks"
Veracruz,,Mexico,Factory,"Turbinas Solar S.a. de C.V."
Casablanca,,Morocco,Headquarters,"Compagne Internationale de Machines Agricoleset de Genie Civil"
Eindhoven,,Netherlands,Headquarters,"Van Doomes Bedrijfswagenfabrie (DAF)"
Eindhoven,,Netherlands,Factory,"Trucks,Diesel Engines"
Geidrop,,Netherlands,Factory,"DAF Trucks"
Curacao,,Netherlands Antilles,,"International Harvester overseas Finanz Co. N.V."
Christschurch,,"New Zealand",Factory,"Farm Tractors,Implements,Trucks,Wheel Loaders"
Christschurch,,"New Zealand",Headquarters,"International Harvester New Zealand, Ltd."
