Name,Address,City,State,Years_of_Operation,Latitude,Longitude
"Falls & Baird","House Street & Swails Street","Acton","IN","&lt;--1958--&gt;",39.6555,-85.96672
"Akron Implement Company","","Akron","IN","&lt;--1948--&gt;",41.03885,-86.02831
"Akron Implement Company","West Rochester Street","Akron","IN","&lt;--1979--&gt;",41.03939,-86.03283
"Young & Glass","","Albion","IN","&lt;--1948--&gt;",41.39556,-85.42397
"Copher Motor Company","Highway 9 South","Alexandria","IN","&lt;--1958--&gt;",39.00195,-84.42195
"Cockerham Motors, Inc.","","Alexandria","IN","&lt;--1962--&gt;",40.25722,-85.67438
"H. J. Clark","","Amo","IN","&lt;--1924--&gt;",39.68773,-86.61238
"W. H. Hardy & Son (Inc.)","2400 Broadway Street","Anderson","IN","&lt;--1948-1984--&gt;",40.14114,-85.67699
"Heckaman Buick","2721 North Broadway Street","Anderson","IN","&lt;--1973-1974--&gt;",40.14408,-85.67686
"Covell Implement Store (Inc.)","109 West Gale Street","Angola","IN","&lt;--1948-1974--&gt;",41.63384,-85.00007
"F. B. McNaughton","","Angola","IN","&lt;--1958--&gt;",41.63478,-85.004
"Chuck Fouts Rambler Sales","","Angola","IN","&lt;--1962--&gt;",41.63478,-85.004
"Gehron","","Angola","IN","&lt;--1964--&gt;",41.63478,-85.004
"Dean & Tomlinson","","Arcadia","IN","&lt;--1914--&gt;",40.1758,-86.02034
"Karst Equipment, Inc.","","Ashley","IN","&lt;--1978--&gt;",41.52506,-85.06693
"Interstate Farm Equipment, Inc.","","Ashley","IN","&lt;--1979-1984--&gt;",41.52506,-85.06693
"Culbertson Hardware Company (Inc.)","502 South Cedar Street","Auburn","IN","&lt;--1912-1953--&gt;",41.36313,-85.05446
"Johnson & Smith","","Auburn","IN","&lt;--1915--&gt;",41.36692,-85.05587
"R. L. Holben Auto Company","","Auburn","IN","&lt;--1958--&gt;",41.36692,-85.05587
"Randall Implement Company","","Aurora","IN","&lt;--1948--&gt;",39.05842,-84.90309
"Ward Bros. Garage","","Aurora","IN","&lt;--1958-1962--&gt;",39.05842,-84.90309
"Bo Johnston Motors","","Aurora","IN","&lt;--1967-1969--&gt;",39.05842,-84.90309
"Lischkge Motors","Highway 50 West","Aurora","IN","&lt;--1973--&gt;",39.07852,-84.88754
"M. N. Hardy & Son","","Austin","IN","&lt;--1946",38.74303,-85.81333
"Anderson Implement Company","","Avilla","IN","&lt;--1958--&gt;",41.36573,-85.23878
"Brown & Edwards","","Bainbridge","IN","&lt;--1913--&gt;",39.76199,-86.81029
"D. V. Etcheson & Son","","Bainbridge","IN","",39.76199,-86.81029
"William Krieger & Sons","","Batesville","IN","&lt;--1911--&gt;",39.29875,-85.22238
"W. A. Gutzwiller Company, Inc.","308 South John Street","Batesville","IN","&lt;--1948-1973--&gt;",34.82932,-82.36859
"Bruns-Gutzwiller Company / Inc.","308 South John Street","Batesville","IN","&lt;--1974-1980--&gt;",34.82932,-82.36859
"Don Bruns & Sons, Inc.","308 South John Street","Batesville","IN","&lt;--1984--&gt;",34.82932,-82.36859
"Norman & Roberts","1002 I Street","Bedford","IN","&lt;--1948",38.86784,-86.48267
"Ray R. Roberts & Sons (Inc.)","1202 J Street","Bedford","IN","1948-1969--&gt;",38.86215,-86.48413
"M. G. W. Truck & Implement (Corp.)","1202 J Street","Bedford","IN","&lt;--1973-1976--&gt;",38.86215,-86.48413
"Clampitts' Farm Center, Inc.","1202 J Street","Bedford","IN","&lt;--1979--&gt;",38.86215,-86.48413
"Berne Farm Equipment (Company)","","Berne","IN","&lt;--1948-1967--&gt;",40.65871,-84.95576
"Balsiger Motor Sales","607 West Franklin Street","Berne","IN","&lt;--1969-1973--&gt;",40.6573,-84.95682
"Maddox Auto Service","","Bloomfield","IN","&lt;--1948-1962--&gt;",39.02682,-86.93733
"Thomas Equipment (Company)","","Bloomfield","IN","&lt;--1964--&gt;",39.02682,-86.93733
"John W. Kennedy","312 Morton Street","Bloomington","IN","&lt;--1939-1950--&gt;",39.16926,-86.53574
"Barnard Trucks, Inc.","419 North Walnut Street","Bloomington","IN","&lt;--1958-1964--&gt;",39.17014,-86.53395
"Barnard Motors, Inc.","","Bloomington","IN","&lt;--1967--&gt;",39.16659,-86.53489
"Summers Trucks, Inc.","","Bloomington","IN","&lt;--1969--&gt;",39.16659,-86.53489
"International Harvester Company","3951 South Highway 37","Bloomington","IN","&lt;--1973--&gt;",39.15485,-86.57325
"McArdle International Trucks, Inc.","3951 South Highway 37","Bloomington","IN","&lt;--1974-1990--&gt;",39.15485,-86.57325
"Bluffton Implement Company","","Bluffton","IN","&lt;--1926--&gt;",40.7387,-85.17149
"Ware Baker Company","","Bluffton","IN","&lt;--1948-1958--&gt;",40.7387,-85.17149
"Flaningam & Son","","Bluffton","IN","&lt;--1960-1969--&gt;",40.7387,-85.17149
"Warrick Co-Operative Company","5th Street & Southern Railway","Boonville","IN","&lt;--1923--&gt;",38.04562,-87.27207
"H. F. Metz","South 3rd Street","Boonville","IN","&lt;--1937-1958--&gt;",38.03764,-87.27449
"Miller & Oschman, Inc.","South 3rd Street; 3555 Highway 62","Boonville","IN","&lt;--1962-1984--&gt;",39.46711,-87.414
"Hendrickson Enterprise, Inc.","Highway 62 West","Boonville","IN","&lt;--1977-1984--&gt;",38.04839,-87.31742
"Geo. McKinley & Son","","Borden","IN","&lt;--1947",38.46664,-85.94635
"J. E. Robinson Implement Company","210 South Adams Street","Boswell","IN","&lt;--1948-1969--&gt;",40.51651,-87.38285
"Floyd Hines Equipment Company","","Bourbon","IN","&lt;--1948--&gt;",41.29554,-86.1163
"Bourbon Farm & Home Supply (Inc.)","407 East Center Street","Bourbon","IN","&lt;--1955-1979--&gt;",41.29584,-86.11199
"Hoffa Bros.","","Bowling Green","IN","&lt;--1947",39.37718,-86.99827
"Owl Hardware & Implement Company","","Brazil","IN","&lt;--1922--&gt;",39.52363,-87.12519
"Girton Implement Company (Inc.)","Highway 40 East","Brazil","IN","&lt;--1947-1990--&gt;",39.52345,-87.12648
