Name,Address,City,State,Years_of_Operation,Pylon,Currently,Web,Notes
J. J. Sanders,,Ada,MN,&lt;--1940--&gt;,,,,
Ada Implement Company,,Ada,MN,&lt;--1948-1957--&gt;,,,,
"Sanders Bros., Inc.",,Ada,MN,&lt;--1962-1970--&gt;,,,,
"Red River Valley Implements, Inc.",Highway 200 East,Ada,MN,&lt;--1978-1980--&gt;,,,,
Osmundson Brothers Implement,West Main Street & 3rd  Street NW / 211 West Main Street,Adams,MN,&lt;--1948-2013--&gt;,J  P,Minnesota Ag Group,,"43.565240, -92.717310"
"W. L. Grove & Sons, Inc.",,Adrian,MN,&lt;--1948--&gt;,,,,
Grove & Munns,,Adrian,MN,&lt;--1955-1958--&gt;,,,,
Olson & Dee,,Adrian,MN,&lt;--1962-1964--&gt;,,,,
T. H. Arens,,Aitkin,MN,&lt;--1948-1953--&gt;,,,,
Jim's Central Garage,,Aitkin,MN,&lt;--1958--&gt;,,,,
Hasskamp Equipment Company / Inc.,103 1st Street NW,Aitkin,MN,&lt;--1967-1970--&gt;,,,,
John Blenker,,Albany,MN,&lt;--1944,,,,
Schiffler Farm Equipment Company / Inc.,300 Railroad Avenue,Albany,MN,&lt;--1948-1984--&gt;,,,,
McCormick-Deering Store,,Albert Lea,MN,&lt;--1943,,,,
Kleinpaste Implement Company,1126 South Broadway Avenue,Albert Lea,MN,&lt;--1945-1948--&gt;,J P,,,"43.638112, -93.368910"
Kleinpaste-Gorder Equipment Company,1126 South Broadway Avenue,Albert Lea,MN,&lt;--1955-1958--&gt;,P,,,"43.638112, -93.368910"
Zetterholm Motors (Inc.),,Albert Lea,MN,&lt;--1962-1967--&gt;,,,,
Linnes-Weiler Motors,Frank Avenue,Albert Lea,MN,&lt;--1969--&gt;,,,,
"Peterson International, Inc.",Highway 46 East,Albert Lea,MN,&lt;--1978-1984--&gt;,,,,
Arnold Dick,,Albertville,MN,&lt;--1913--&gt;,,,,
Alden Hardware,,Alden,MN,&lt;--1946,,,,
Alden Hardware & Implement Company,,Alden,MN,&lt;--1948-1967--&gt;,,,,
Brown Bros. & Chapin,,Alexandria,MN,&lt;--1924--&gt;,,,,
Brown Bros.,,Alexandria,MN,&lt;--1946,,,,
A. P. Hustad / A. P. Hustad Implement (Company),123 3rd Avenue East,Alexandria,MN,1943-1984--&gt;,J,,,
Alexandria Diesel (Inc.),Highway 29 & 50th Street W,Alexandria,MN,&lt;--1980-1990--&gt;,,,,
Kelm Implement & Hardware Company,,Alma City,MN,&lt;--1922--&gt;,,,,
Almelund Mercantile Company,,Almelund,MN,&lt;--1913--&gt;,,,,
Farmers Co-operative Company,,Almelund,MN,&lt;--1919--&gt;,,,,
Krause Brothers,,Amboy,MN,&lt;--1925--&gt;,,,,
Kranz Implements,Highway 30 Main Street,Amboy,MN,&lt;--1948-1984--&gt;,,,,
Magnuson Sales,,Annandale,MN,&lt;--1948--&gt;,J,,,
Hawkinson & Schauer,,Annandale,MN,&lt;--1962--&gt;,,,,
Magnuson Farm Implements,,Annandale,MN,,,,,
Freeburg Implement Company,,Anoka,MN,&lt;--1948-1950--&gt;,,,,
"Winch-Milles Implements & Truck, Inc.",,Anoka,MN,&lt;--1958--&gt;,,,,
Anoka Independent Grain & Feed,,Anoka,MN,&lt;--1962-1964--&gt;,,,,
"Anoka International Sales & Service, Inc.",,Anoka,MN,&lt;--1967-1973--&gt;,,,,
Bloomquist International Trucks (Inc.),6140 Highway 10,Anoka,MN,&lt;--1974-1980--&gt;,,,,
"Greenbergs, Inc.",19745 Nowthen Blvd. NW,Anoka,MN,&lt;--1979--&gt;,,,,
Evans Bros.,,Appleton,MN,&lt;--1926--&gt;,,,,
Appleton Farm Equipment (Company),,Appleton,MN,&lt;--1940-1948--&gt;,,,,
Witte Implement Company,,Appleton,MN,&lt;--1958--&gt;,,,,
"Schoening & Huckle, Inc.",,Appleton,MN,&lt;--1962-1964--&gt;,,,,
Bower's Farm Equipment,,Appleton,MN,,,,,
Joe Graeve Motors,7500 West 145th Street,Apple Valley,MN,&lt;--1977-1979--&gt;,,,,
N. P. Williamson & Son,,Arco,MN,&lt;--1945,,,,
O. R. Johnson,,Arco,MN,&lt;--1948--&gt;,,,,
Argyle Implement Company,,Argyle,MN,&lt;--1915-1916--&gt;,,,,
Amundgaard Machine Company,,Argyle,MN,&lt;--1948--&gt;,,,,
Algot Anderson Garage,,Argyle,MN,&lt;--1962-1969--&gt;,,,,
Mueller Bros.,,Arlington,MN,&lt;--1913-1919--&gt;,,,,
Thomes Brothers,414 West Main Street,Arlington,MN,&lt;--1948-1980--&gt;,,,,
Budahn's Garage,,Arlington,MN,&lt;--1958--&gt;,,,,
Harens Garage,,Arlington,MN,&lt;--1962-1969--&gt;,,,,
Farmer's Equity Association,,Ashby,MN,&lt;--1948-1973--&gt;,,,,
"Holm Brothers (of Atwater, Inc.)",,Atwater,MN,&lt;--1948-1980--&gt;,,,,
Haukedahl Trucking,Highway 10,Audubon,MN,&lt;--1973-1976--&gt;,,,,
"Haukedahl Truck Sales, Inc.",Highway 10,Audubon,MN,&lt;--1977-1980--&gt;,,,,
Johnson & Jacobson,,Audubon,MN,,,,,
Skubic Garage,,Aurora,MN,,,,,
J. E. McEnaney,,Austin,MN,&lt;--1932--&gt;,,,,
Mower County Equipment Company,,Austin,MN,&lt;--1948--&gt;,,,,
McCormick Farm Equipment Store,1303 East Oakland Avenue; Highway 218 North,Austin,MN,&lt;--1955-1962--&gt;,,,,
International Harvester Sales & Service,Highway 218 North,Austin,MN,&lt;--1964-1969--&gt;,,,,
Lichy Implement Company,,Avon,MN,&lt;--1948--&gt;,,,,
Eslers Garage & Implement,,Backus,MN,&lt;--1948--&gt;,,,,
Backus Auto & Implement,,Backus,MN,&lt;--1958--&gt;,,,,
B. J. Borgen (Implement),,Badger,MN,&lt;--1948-1964--&gt;,,,,
Borgen Implement Company / Inc.,,Badger,MN,&lt;--1967-1984--&gt;,,,,
Honstad Implement Company,,Bagley,MN,&lt;--1945-1958--&gt;,,,,
