Name,Address,City,State,Years_of_Operation,Latitude,Longitude
"J. J. Sanders","","Ada","MN","&lt;--1940--&gt;",47.29609,-96.51416
"Ada Implement Company","","Ada","MN","&lt;--1948-1957--&gt;",47.29609,-96.51416
"Sanders Bros., Inc.","","Ada","MN","&lt;--1962-1970--&gt;",47.29609,-96.51416
"Red River Valley Implements, Inc.","Highway 200 East","Ada","MN","&lt;--1978-1980--&gt;",47.29617,-96.50985
"Osmundson Brothers Implement","211 West Main Street","Adams","MN","&lt;--1948-2013--&gt;",43.56521,-92.7172
"W. L. Grove & Sons, Inc.","","Adrian","MN","&lt;--1948--&gt;",43.6341,-95.93314
"Grove & Munns","","Adrian","MN","&lt;--1955-1958--&gt;",43.6341,-95.93314
"Olson & Dee","","Adrian","MN","&lt;--1962-1964--&gt;",43.6341,-95.93314
"T. H. Arens","","Aitkin","MN","&lt;--1948-1953--&gt;",46.53335,-93.71112
"Jim's Central Garage","","Aitkin","MN","&lt;--1958--&gt;",46.53335,-93.71112
"Hasskamp Equipment Company Inc.","103 1st Street NW","Aitkin","MN","&lt;--1967-1970--&gt;",46.53238,-93.71072
"John Blenker","","Albany","MN","&lt;--1944",45.63038,-94.57419
"Schiffler Farm Equipment Company Inc.","300 Railroad Avenue","Albany","MN","&lt;--1948-1984--&gt;",45.62946,-94.56719
"McCormick-Deering Store","","Albert Lea","MN","&lt;--1943",43.64688,-93.3687
"Kleinpaste Implement Company","1126 South Broadway Avenue","Albert Lea","MN","&lt;--1945-1948--&gt;",43.63889,-93.36857
"Kleinpaste-Gorder Equipment Company","1126 South Broadway Avenue","Albert Lea","MN","&lt;--1955-1958--&gt;",43.63889,-93.36857
"Zetterholm Motors (Inc.)","","Albert Lea","MN","&lt;--1962-1967--&gt;",43.64688,-93.3687
"Linnes-Weiler Motors","Frank Avenue","Albert Lea","MN","&lt;--1969--&gt;",43.63911,-93.36233
"Peterson International, Inc.","Highway 46 East","Albert Lea","MN","&lt;--1978-1984--&gt;",43.65379,-93.33986
"Arnold Dick","","Albertville","MN","&lt;--1913--&gt;",45.23571,-93.65393
"Alden Hardware","","Alden","MN","&lt;--1946",43.67192,-93.57394
"Alden Hardware & Implement Company","","Alden","MN","&lt;--1948-1967--&gt;",43.67192,-93.57394
"Brown Bros. & Chapin","","Alexandria","MN","&lt;--1924--&gt;",45.88947,-95.37753
"Brown Bros.","","Alexandria","MN","&lt;--1946",45.88947,-95.37753
"A. P. Hustad Implement (Company)","123 3rd Avenue East","Alexandria","MN","1943-1984--&gt;",45.88975,-95.37631
"Alexandria Diesel (Inc.)","Highway 29 & 50th Street W","Alexandria","MN","&lt;--1980-1990--&gt;",45.846,-95.3879
"Kelm Implement & Hardware Company","","Alma City","MN","&lt;--1922--&gt;",44.11445,-93.70474
"Almelund Mercantile Company","","Almelund","MN","&lt;--1913--&gt;",46.34915,-94.19832
"Farmers Co-operative Company","","Almelund","MN","&lt;--1919--&gt;",46.34915,-94.19832
"Krause Brothers","","Amboy","MN","&lt;--1925--&gt;",43.88791,-94.16025
"Kranz Implements","Highway 30 Main Street","Amboy","MN","&lt;--1948-1984--&gt;",43.88788,-94.16333
"Magnuson Sales","","Annandale","MN","&lt;--1948--&gt;",45.26274,-94.12443
"Hawkinson & Schauer","","Annandale","MN","&lt;--1962--&gt;",45.26274,-94.12443
"Magnuson Farm Implements","","Annandale","MN","",45.26274,-94.12443
"Freeburg Implement Company","","Anoka","MN","&lt;--1948-1950--&gt;",45.19793,-93.3872
"Winch-Milles Implements & Truck, Inc.","","Anoka","MN","&lt;--1958--&gt;",45.19793,-93.3872
"Anoka Independent Grain & Feed","","Anoka","MN","&lt;--1962-1964--&gt;",45.19793,-93.3872
"Anoka International Sales & Service, Inc.","","Anoka","MN","&lt;--1967-1973--&gt;",45.19793,-93.3872
"Bloomquist International Trucks (Inc.)","6140 Highway 10","Anoka","MN","&lt;--1974-1980--&gt;",45.21787,-93.42359
"Greenbergs, Inc.","19745 Nowthen Blvd. NW","Anoka","MN","&lt;--1979--&gt;",45.32913,-93.46827
"Evans Bros.","","Appleton","MN","&lt;--1926--&gt;",45.19656,-96.01966
"Appleton Farm Equipment (Company)","","Appleton","MN","&lt;--1940-1948--&gt;",45.19656,-96.01966
"Witte Implement Company","","Appleton","MN","&lt;--1958--&gt;",45.19656,-96.01966
"Schoening & Huckle, Inc.","","Appleton","MN","&lt;--1962-1964--&gt;",45.19656,-96.01966
"Bower's Farm Equipment","","Appleton","MN","",45.19656,-96.01966
"Joe Graeve Motors","7500 West 145th Street","Apple Valley","MN","&lt;--1977-1979--&gt;",44.73901,-93.21829
"N. P. Williamson & Son","","Arco","MN","&lt;--1945",44.38361,-96.18148
"O. R. Johnson","","Arco","MN","&lt;--1948--&gt;",44.38361,-96.18148
"Argyle Implement Company","","Argyle","MN","&lt;--1915-1916--&gt;",48.33749,-96.81533
"Amundgaard Machine Company","","Argyle","MN","&lt;--1948--&gt;",48.33749,-96.81533
"Algot Anderson Garage","","Argyle","MN","&lt;--1962-1969--&gt;",48.33749,-96.81533
"Mueller Bros.","","Arlington","MN","&lt;--1913-1919--&gt;",44.60902,-94.08317
"Thomes Brothers","414 West Main Street","Arlington","MN","&lt;--1948-1980--&gt;",44.60692,-94.08207
"Budahn's Garage","","Arlington","MN","&lt;--1958--&gt;",44.60902,-94.08317
"Harens Garage","","Arlington","MN","&lt;--1962-1969--&gt;",44.60902,-94.08317
"Farmer's Equity Association","","Ashby","MN","&lt;--1948-1973--&gt;",46.09308,-95.81596
"Holm Brothers (of Atwater, Inc.)","","Atwater","MN","&lt;--1948-1980--&gt;",45.139,-94.77759
"Haukedahl Trucking","Highway 10","Audubon","MN","&lt;--1973-1976--&gt;",46.86322,-95.99513
"Haukedahl Truck Sales, Inc.","Highway 10","Audubon","MN","&lt;--1977-1980--&gt;",46.86322,-95.99513
"Johnson & Jacobson","","Audubon","MN","",46.86339,-95.98037
"Skubic Garage","","Aurora","MN","",47.52931,-92.23373
"J. E. McEnaney","","Austin","MN","&lt;--1932--&gt;",43.6704,-92.97483
"Mower County Equipment Company","","Austin","MN","&lt;--1948--&gt;",43.6704,-92.97483
"McCormick Farm Equipment Store","1303 East Oakland Avenue; Highway 218 North","Austin","MN","&lt;--1955-1962--&gt;",43.66693,-92.93934
"International Harvester Sales & Service","Highway 218 North","Austin","MN","&lt;--1964-1969--&gt;",43.66698,-92.93928
"Lichy Implement Company","","Avon","MN","&lt;--1948--&gt;",45.60867,-94.44964
"Eslers Garage & Implement","","Backus","MN","&lt;--1948--&gt;",46.8226,-94.51367
"Backus Auto & Implement","","Backus","MN","&lt;--1958--&gt;",46.8226,-94.51367
"B. J. Borgen (Implement)","","Badger","MN","&lt;--1948-1964--&gt;",48.77888,-96.01838
"Borgen Implement Company Inc.","","Badger","MN","&lt;--1967-1984--&gt;",48.77888,-96.01838
"Honstad Implement Company","","Bagley","MN","&lt;--1945-1958--&gt;",47.52229,-95.39697
"Trefz Motor & Implement Company Inc.","501 Sand Lake Avenue; 501 West 3rd Street","Bagley","MN","&lt;--1974-1984--&gt;",47.52499,-95.40463
"Fred Miller","","Baker","MN","&lt;--1948--&gt;",46.71239,-96.55281
"G. H. Garlow","","Balaton","MN","&lt;--1910--&gt;",44.23102,-95.87643
